,date,state,city,place_type,confirmed,deaths,order_for_place,is_last,estimated_population_2019,estimated_population,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
1882275,2021-04-06,SP,,state,2554841,78554,400,False,45919049.0,46289333.0,35.0,5519.2867,3.0700000000000003
1882276,2021-04-05,SP,,state,2532047,77165,399,False,45919049.0,46289333.0,35.0,5470.04425,3.05
1882277,2021-04-04,SP,,state,2527400,77020,398,False,45919049.0,46289333.0,35.0,5460.00522,3.05
1882278,2021-04-03,SP,,state,2520204,76750,397,False,45919049.0,46289333.0,35.0,5444.45953,3.05
1882279,2021-04-02,SP,,state,2513178,76552,396,False,45919049.0,46289333.0,35.0,5429.28108,3.05
1882280,2021-04-01,SP,,state,2496416,75734,395,False,45919049.0,46289333.0,35.0,5393.06972,3.0300000000000002
1882281,2021-03-31,SP,,state,2469849,74652,394,False,45919049.0,46289333.0,35.0,5335.67636,3.02
1882282,2021-03-30,SP,,state,2446680,73492,393,False,45919049.0,46289333.0,35.0,5285.6238,3.0
1882283,2021-03-29,SP,,state,2425320,72283,392,False,45919049.0,46289333.0,35.0,5239.47926,2.98
1882284,2021-03-28,SP,,state,2420100,71991,391,False,45919049.0,46289333.0,35.0,5228.20236,2.97
1882285,2021-03-27,SP,,state,2410498,71747,390,False,45919049.0,46289333.0,35.0,5207.45892,2.98
1882286,2021-03-26,SP,,state,2392374,70696,389,False,45919049.0,46289333.0,35.0,5168.30519,2.96
1882287,2021-03-25,SP,,state,2370885,69503,388,False,45919049.0,46289333.0,35.0,5121.88197,2.93
1882288,2021-03-24,SP,,state,2352438,68904,387,False,45919049.0,46289333.0,35.0,5082.03045,2.93
1882289,2021-03-23,SP,,state,2332043,68623,386,False,45919049.0,46289333.0,35.0,5037.97063,2.94
1882290,2021-03-22,SP,,state,2311101,67602,385,False,45919049.0,46289333.0,35.0,4992.7291,2.93
1882291,2021-03-21,SP,,state,2306326,67558,384,False,45919049.0,46289333.0,35.0,4982.41355,2.93
1882292,2021-03-20,SP,,state,2298061,67414,383,False,45919049.0,46289333.0,35.0,4964.55847,2.93
1882293,2021-03-19,SP,,state,2280033,66798,382,False,45919049.0,46289333.0,35.0,4925.6121299999995,2.93
1882294,2021-03-18,SP,,state,2261360,66178,381,False,45919049.0,46289333.0,35.0,4885.272379999999,2.93
1882295,2021-03-17,SP,,state,2243868,65519,380,False,45919049.0,46289333.0,35.0,4847.48398,2.92
1882296,2021-03-16,SP,,state,2225926,64902,379,False,45919049.0,46289333.0,35.0,4808.72343,2.92
1882297,2021-03-15,SP,,state,2208242,64223,378,False,45919049.0,46289333.0,35.0,4770.52024,2.91
1882298,2021-03-14,SP,,state,2202983,64123,377,False,45919049.0,46289333.0,35.0,4759.15909,2.91
1882299,2021-03-13,SP,,state,2195130,63965,376,False,45919049.0,46289333.0,35.0,4742.19406,2.91
1882300,2021-03-12,SP,,state,2179786,63531,375,False,45919049.0,46289333.0,35.0,4709.0460299999995,2.91
1882301,2021-03-11,SP,,state,2164066,63010,374,False,45919049.0,46289333.0,35.0,4675.08573,2.91
1882302,2021-03-10,SP,,state,2149561,62570,373,False,45919049.0,46289333.0,35.0,4643.75021,2.91
1882303,2021-03-09,SP,,state,2134020,62101,372,False,45919049.0,46289333.0,35.0,4610.1766,2.91
1882304,2021-03-08,SP,,state,2117962,61584,371,False,45919049.0,46289333.0,35.0,4575.48611,2.91
1882305,2021-03-07,SP,,state,2113738,61463,370,False,45919049.0,46289333.0,35.0,4566.36089,2.91
1882306,2021-03-06,SP,,state,2107687,61417,369,False,45919049.0,46289333.0,35.0,4553.28877,2.91
1882307,2021-03-05,SP,,state,2093924,61064,368,False,45919049.0,46289333.0,35.0,4523.55622,2.92
1882308,2021-03-04,SP,,state,2080852,60694,367,False,45919049.0,46289333.0,35.0,4495.31645,2.92
1882309,2021-03-03,SP,,state,2068616,60381,366,False,45919049.0,46289333.0,35.0,4468.88271,2.92
1882310,2021-03-02,SP,,state,2054867,60014,365,False,45919049.0,46289333.0,35.0,4439.1804,2.92
1882311,2021-03-01,SP,,state,2044699,59546,364,False,45919049.0,46289333.0,35.0,4417.214220000001,2.91
1882312,2021-02-28,SP,,state,2041628,59493,363,False,45919049.0,46289333.0,35.0,4410.57986,2.91
1882313,2021-02-27,SP,,state,2037267,59428,362,False,45919049.0,46289333.0,35.0,4401.15869,2.92
1882314,2021-02-26,SP,,state,2026125,59129,361,False,45919049.0,46289333.0,35.0,4377.08835,2.92
1882315,2021-02-25,SP,,state,2014529,58873,360,False,45919049.0,46289333.0,35.0,4352.03722,2.92
1882316,2021-02-24,SP,,state,2002640,58528,359,False,45919049.0,46289333.0,35.0,4326.35311,2.92
1882317,2021-02-23,SP,,state,1990554,58199,358,False,45919049.0,46289333.0,35.0,4300.2434299999995,2.92
1882318,2021-02-22,SP,,state,1978477,57842,357,False,45919049.0,46289333.0,35.0,4274.153179999999,2.92
1882319,2021-02-21,SP,,state,1975927,57799,356,False,45919049.0,46289333.0,35.0,4268.64435,2.93
1882320,2021-02-20,SP,,state,1971423,57743,355,False,45919049.0,46289333.0,35.0,4258.91425,2.93
1882321,2021-02-19,SP,,state,1960564,57499,354,False,45919049.0,46289333.0,35.0,4235.45528,2.93
1882322,2021-02-18,SP,,state,1949459,57240,353,False,45919049.0,46289333.0,35.0,4211.464870000001,2.94
1882323,2021-02-17,SP,,state,1938712,56960,352,False,45919049.0,46289333.0,35.0,4188.24786,2.94
1882324,2021-02-16,SP,,state,1927410,56702,351,False,45919049.0,46289333.0,35.0,4163.83187,2.94
1882325,2021-02-15,SP,,state,1915914,56304,350,False,45919049.0,46289333.0,35.0,4138.996770000001,2.94
1882326,2021-02-14,SP,,state,1913598,56266,349,False,45919049.0,46289333.0,35.0,4133.993460000001,2.94
1882327,2021-02-13,SP,,state,1911411,56191,348,False,45919049.0,46289333.0,35.0,4129.26883,2.94
1882328,2021-02-12,SP,,state,1901574,55971,347,False,45919049.0,46289333.0,35.0,4108.017720000001,2.94
1882329,2021-02-11,SP,,state,1889969,55742,346,False,45919049.0,46289333.0,35.0,4082.9471399999998,2.9499999999999997
1882330,2021-02-10,SP,,state,1878802,55419,345,False,45919049.0,46289333.0,35.0,4058.8228,2.9499999999999997
1882331,2021-02-09,SP,,state,1864977,55087,344,False,45919049.0,46289333.0,35.0,4028.9563,2.9499999999999997
1882332,2021-02-08,SP,,state,1851776,54663,343,False,45919049.0,46289333.0,35.0,4000.43785,2.9499999999999997
1882333,2021-02-07,SP,,state,1849334,54614,342,False,45919049.0,46289333.0,35.0,3995.16234,2.9499999999999997
1882334,2021-02-06,SP,,state,1845086,54545,341,False,45919049.0,46289333.0,35.0,3985.98528,2.96
1882335,2021-02-05,SP,,state,1833163,54324,340,False,45919049.0,46289333.0,35.0,3960.2277299999996,2.96
1882336,2021-02-04,SP,,state,1820941,53997,339,False,45919049.0,46289333.0,35.0,3933.82424,2.97
1882337,2021-02-03,SP,,state,1807009,53704,338,False,45919049.0,46289333.0,35.0,3903.7265899999998,2.97
1882338,2021-02-02,SP,,state,1794019,53455,337,False,45919049.0,46289333.0,35.0,3875.6639700000005,2.98
1882339,2021-02-01,SP,,state,1779722,53090,336,False,45919049.0,46289333.0,35.0,3844.7778,2.98
1882340,2021-01-31,SP,,state,1777368,53034,335,False,45919049.0,46289333.0,35.0,3839.6924,2.98
1882341,2021-01-30,SP,,state,1773024,52954,334,False,45919049.0,46289333.0,35.0,3830.30795,2.9899999999999998
1882342,2021-01-29,SP,,state,1759957,52722,333,False,45919049.0,46289333.0,35.0,3802.07898,3.0
1882343,2021-01-28,SP,,state,1746070,52481,332,False,45919049.0,46289333.0,35.0,3772.07855,3.01
1882344,2021-01-27,SP,,state,1731294,52170,331,False,45919049.0,46289333.0,35.0,3740.15759,3.01
1882345,2021-01-26,SP,,state,1715253,51838,330,False,45919049.0,46289333.0,35.0,3705.50381,3.02
