,city,city_ibge_code,date,epidemiological_week,estimated_population,estimated_population_2019,is_last,is_repeated,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,order_for_place,place_type,state,new_confirmed,new_deaths,media_movel_casos,media_movel_obitos
340070,,32.0,2020-05-04,202019,4064052.0,4018650.0,False,False,3351,82.45465,2020-05-04,0.0367,123,61,state,ES,143,8,201.0,8.571428571428571
340150,,32.0,2020-05-05,202019,4064052.0,4018650.0,False,False,3540,87.10518,2020-05-05,0.0376,133,62,state,ES,189,10,196.57142857142858,8.0
340230,,32.0,2020-05-06,202019,4064052.0,4018650.0,False,False,3714,91.38663000000001,2020-05-06,0.0393,146,63,state,ES,174,13,168.0,8.857142857142858
340310,,32.0,2020-05-07,202019,4064052.0,4018650.0,False,False,3988,98.12867,2020-05-07,0.0394,157,64,state,ES,274,11,185.71428571428572,9.142857142857142
340390,,32.0,2020-05-08,202019,4064052.0,4018650.0,False,False,4242,104.37859,2020-05-08,0.0389,165,65,state,ES,254,8,189.85714285714286,9.142857142857142
340470,,32.0,2020-05-09,202019,4064052.0,4018650.0,False,False,4412,108.5616,2020-05-09,0.039,172,66,state,ES,170,7,186.85714285714286,9.714285714285714
340550,,32.0,2020-05-10,202020,4064052.0,4018650.0,False,False,4599,113.16292,2020-05-10,0.0394,181,67,state,ES,187,9,198.71428571428572,9.428571428571429
340630,,32.0,2020-05-11,202020,4064052.0,4018650.0,False,False,4819,118.57623999999998,2020-05-11,0.0407,196,68,state,ES,220,15,209.71428571428572,10.428571428571429
340710,,32.0,2020-05-12,202020,4064052.0,4018650.0,False,False,5087,125.17063999999999,2020-05-12,0.0417,212,69,state,ES,268,16,221.0,11.285714285714286
340790,,32.0,2020-05-13,202020,4064052.0,4018650.0,False,False,5401,132.89692,2020-05-13,0.0431,233,70,state,ES,314,21,241.0,12.428571428571429
340870,,32.0,2020-05-14,202020,4064052.0,4018650.0,False,False,5813,143.03458999999998,2020-05-14,0.0428,249,71,state,ES,412,16,260.7142857142857,13.142857142857142
340950,,32.0,2020-05-15,202020,4064052.0,4018650.0,False,False,6198,152.50789,2020-05-15,0.0419,260,72,state,ES,385,11,279.42857142857144,13.571428571428571
341030,,32.0,2020-05-16,202020,4064052.0,4018650.0,False,False,6595,162.27647,2020-05-16,0.0411,271,73,state,ES,397,11,311.85714285714283,14.142857142857142
341110,,32.0,2020-05-17,202021,4064052.0,4018650.0,False,False,6744,165.94276000000002,2020-05-17,0.0423,285,74,state,ES,149,14,306.42857142857144,14.857142857142858
341190,,32.0,2020-05-18,202021,4064052.0,4018650.0,False,False,7157,176.10503,2020-05-18,0.0422,302,75,state,ES,413,17,334.0,15.142857142857142
341270,,32.0,2020-05-19,202021,4064052.0,4018650.0,False,False,7693,189.29384,2020-05-19,0.0422,325,76,state,ES,536,23,372.2857142857143,16.142857142857142
